threshold,scale_pos_weight,num_leaves,max_depth,subsample,colsample_bytree,min_child_samples,min_child_weight,reg_alpha,reg_lambda,AUC,F1_score,Recall,Precision,Avg_Best_Iteration
0.2,1.4,5,9,0.25,0.34,105,0.0005,0.0,2.0,0.8563995255392882,0.4460089246775533,0.8880334188693005,0.2977902434329535,743.2
0.3,1.2,5,17,0.35,0.32,150,0.004,0.002,0.5,0.8565023422173293,0.4539381078544448,0.6785145567752303,0.34107602102909473,672.0
0.3,1.0,7,5,0.3,0.3,105,0.004,0.003,2.5,0.8565357053459646,0.43160773724361706,0.5384311904014334,0.36018971923504506,553.4
0.3,1.6,6,7,0.3,0.3,105,0.001,0.004,2.0,0.8565950305072075,0.457360524845578,0.7874129202345911,0.32228812659850953,630.0
0.25,1.0,7,7,0.2,0.36,165,0.003,0.004,0.5,0.8563772890576837,0.4565429353075558,0.7115543583745672,0.3361043749363444,426.6
0.3,1.4,9,15,0.2,0.34,60,0.0005,0.004,0.5,0.8565379010647349,0.4585528030698646,0.7443098719303245,0.33135999501872715,435.6
0.35,1.8,5,15,0.25,0.32,75,0.0005,0.001,1.5,0.8565535443920073,0.4581407496679043,0.7545149316157894,0.3289494831931809,772.0
0.2,1.2,8,9,0.15,0.32,135,0.003,0.004,2.5,0.856550478532666,0.4528665864101605,0.8552070370203435,0.30798392831518145,467.2
0.3,1.8,9,15,0.25,0.32,135,0.0005,0.003,2.0,0.8567591126814404,0.45677410438524324,0.8191690711720871,0.3166902694992868,537.4
0.25,1.4,8,5,0.25,0.38,45,0.002,0.003,2.0,0.8561877577929149,0.4563999412785435,0.824021855852924,0.3156074932494943,497.6
0.15,1.0,6,13,0.15,0.3,165,0.004,0.004,2.0,0.856632859133413,0.44496371909208704,0.8917445186571029,0.2964546361679263,558.4
0.3,1.8,8,5,0.3,0.38,75,0.002,0.004,2.0,0.8562963510149085,0.45640503912402625,0.8223094049075084,0.3158706682833362,569.6
0.35,1.2,4,19,0.15,0.34,45,0.004,0.001,0.5,0.856396626715209,0.4186094046066577,0.48919198686632015,0.3658943693904389,798.0
0.2,1.6,7,21,0.35,0.38,60,0.002,0.002,1.5,0.8560856203280272,0.437522039072557,0.9103694089360257,0.28796535414379837,517.6
0.3,1.6,6,5,0.25,0.3,105,0.0005,0.004,2.0,0.8565950305072075,0.457360524845578,0.7874129202345911,0.32228812659850953,630.0
0.25,1.4,9,9,0.25,0.3,165,0.001,0.002,1.5,0.8567448963989766,0.45708933636100973,0.8210244555453613,0.31671361179568347,384.6
0.3,1.2,8,7,0.25,0.38,120,0.002,0.001,2.5,0.8562557962346509,0.4515318317652688,0.6748746817865939,0.3392774610285501,485.0
0.15,1.6,8,15,0.15,0.34,90,0.001,0.001,1.5,0.8565421248996377,0.41978679869921776,0.9543993727532166,0.2690679958279038,486.2
0.3,1.2,5,9,0.2,0.3,90,0.0005,0.004,2.5,0.8564993592227822,0.4536470505810094,0.6781572104732285,0.3408348101326947,680.6
0.35,1.0,9,15,0.35,0.32,165,0.003,0.001,1.0,0.8566683681900233,0.340986561816964,0.3006509035007104,0.3941034450833013,405.4
0.2,1.8,5,19,0.15,0.36,105,0.001,0.003,2.5,0.8567439174135302,0.4327209537169323,0.9282102152710351,0.2821317131578823,800.8
0.25,1.6,5,21,0.2,0.34,135,0.001,0.002,2.5,0.856579357544226,0.45213928134405207,0.8544936685813583,0.30740979525323076,693.2
